loss,loss_phys,loss_data,omega
2376.920654296875,0.001955050975084305,0.23769187927246094,0.6931481957435608
2250.2578125,0.0015007439069449902,0.22502562403678894,0.6926482915878296
2159.3681640625,0.0011230360250920057,0.21593670547008514,0.6921722888946533
2103.115234375,0.0008213294204324484,0.21031144261360168,0.6917458772659302
2078.630859375,0.0005920588737353683,0.20786304771900177,0.6913965940475464
2079.907470703125,0.00043273711344227195,0.20799069106578827,0.6911423206329346
2096.521240234375,0.00033975267433561385,0.2096521109342575,0.6909852623939514
2115.5966796875,0.00030276525649242103,0.21155965328216553,0.6909161806106567
2127.59619140625,0.00030796712962910533,0.2127595841884613,0.6909232139587402
2129.364990234375,0.0003462407330516726,0.21293647587299347,0.6909965872764587
2122.496337890625,0.00041409095865674317,0.21224959194660187,0.6911282539367676
2110.609619140625,0.0005106658791191876,0.21106091141700745,0.6913113594055176
2097.486083984375,0.000635138712823391,0.2097485363483429,0.6915390491485596
2086.11279296875,0.0007852425915189087,0.20861120522022247,0.6918042898178101
2078.30908203125,0.0009566136286593974,0.20783081650733948,0.6920996904373169
2074.686279296875,0.0011426552664488554,0.20746850967407227,0.6924179196357727
2074.8212890625,0.0013348603388294578,0.2074820101261139,0.6927517056465149
2077.560302734375,0.001523566897958517,0.2077558934688568,0.69309401512146
2081.405029296875,0.0016991596203297377,0.20814034342765808,0.6934383511543274
2084.930908203125,0.001853692578151822,0.20849290490150452,0.693779468536377
2087.12451171875,0.001982238609343767,0.20871226489543915,0.6941137313842773
2087.534912109375,0.0020832230802625418,0.20875327289104462,0.6944400072097778
2086.235595703125,0.0021579894237220287,0.20862333476543427,0.6947593092918396
2083.683837890625,0.002210106933489442,0.20836815237998962,0.6950750350952148
2080.5380859375,0.002244646428152919,0.2080535888671875,0.6953920722007751
2077.477783203125,0.002267515519633889,0.20774754881858826,0.6957165002822876
2075.05810546875,0.0022849112283438444,0.20750558376312256,0.6960543394088745
2073.609375,0.0023028876166790724,0.20736071467399597,0.6964112520217896
2073.19775390625,0.002327029826119542,0.20731952786445618,0.696791410446167
2073.642822265625,0.002362204482778907,0.2073640376329422,0.6971978545188904
2074.593994140625,0.0024123857729136944,0.20745916664600372,0.6976315975189209
2075.6357421875,0.002480541355907917,0.20756332576274872,0.698092520236969
2076.401611328125,0.002568604191765189,0.2076399028301239,0.6985792517662048
2076.6611328125,0.0026774874422699213,0.2076658457517624,0.6990898251533508
